//	Time,	Type,	Sx,	Sy,	Temp0,	Temp1,	Life
	150,	17,	0,	0,	0,	0,	0,		// 開始メッセージ
	300,	3,	0,	0,	0,	0,	100,		// 上からベタ
	600,	4,	0,	0,	0,	0,	100,		// 下からベタ
	1000,	9,	0,	0,	0,	0,	100,		// 下から群集
	1000,	2,	0,	0,	0,	0,	120,		// アイテム
	1100,	10,	1,	200,	0,	0,	0,		// 前から石
	1300,	3,	0,	0,	0,	0,	120,		// ベタ上下
	1300,	4,	0,	0,	0,	0,	120,		// ベタ上下
	1500,	2,	0,	0,	0,	0,	120,		// アイテム
	1800,	14,	0,	0,	0,	0,	0,		// 投石
	2000,	16,	0,	0,	3,	0,	600,		// ３ＷＡＹ、上下
	2200,	10,	-1,	200,	0,	0,	0,		// 後ろから石
	2300,	8,	0,	0,	0,	0,	200,		// 上
	2400,	7,	0,	0,	0,	0,	200,		// 下
	2450,	2,	0,	0,	0,	0,	150,		// アイテム
	2500,	15,	0,	1,	0,	0,	300,		// 上から前方旋回
	2700,	11,	0,	1,	0,	4,	300,		// 上から下から群集
	2700,	11,	0,	-1,	0,	4,	300,		// 上から下から群集
	2800,	2,	0,	0,	0,	0,	250,		// アイテム
	2800,	10,	1,	300,	0,	0,	0,		// 前から石
	2850,	10,	1,	200,	0,	0,	0,		// 前から石
	2900,	10,	1,	100,	0,	0,	0,		// 前から石
	3000,	2,	0,	0,	0,	0,	150,		// アイテム
	3000,	12,	1,	0,	0,	5,	200,		// 後ろから編隊
	3300,	14,	0,	0,	0,	0,	0,		// 投石
	3400,	2,	0,	0,	0,	0,	300,		// アイテム
	3500,	5,	0,	0,	0,	0,	350,		// 上から接近
	3500,	6,	0,	0,	0,	0,	350,		// 下から接近
	3700,	3,	0,	0,	0,	0,	400,		// 上からベタ
	3700,	4,	0,	0,	0,	0,	400,		// 下からベタ
	4000,	2,	0,	0,	0,	0,	300,		// アイテム
	4100,	1,	0,	0,	0,	0,	30000,		// レーザー
	4200,	11,	0,	1,	0,	6,	350,		// 上から下から群集
	4200,	11,	0,	-1,	0,	6,	350,		// 上から下から群集
	4300,	2,	0,	0,	0,	0,	300,		// アイテム
	4500,	10,	-1,	70,	0,	0,	0,		// 後ろから石
	4500,	10,	-1,	330,	0,	0,	0,		// 後ろから石
	4700,	9,	0,	0,	0,	0,	250,		// 下から群集
	4700,	9,	0,	0,	0,	0,	250,		// 下から群集
	4800,	2,	0,	0,	0,	0,	300,		// アイテム
	4900,	13,	0,	0,	0,	8,	300,		// 後ろから群集
	5000,	9,	0,	0,	0,	0,	300,		// 下から群集
	5100,	2,	0,	0,	0,	0,	300,		// アイテム
	5300,	16,	0,	0,	3,	0,	1200,		// ３ＷＡＹ、上中下
	5400,	14,	0,	0,	0,	0,	0,		// 投石
	5700,	12,	0,	0,	0,	0,	350,		// 後ろから楕円
	5800,	2,	0,	0,	0,	0,	300,		// アイテム
	6000,	10,	0,	200,	0,	0,	0,		// 石
	6200,	3,	0,	0,	0,	0,	300,		// 下
	6200,	4,	0,	0,	0,	0,	300,		// 下
	6200,	2,	0,	0,	0,	0,	300,		// アイテム
	6400,	7,	0,	0,	0,	0,	400,		// 下
	6400,	8,	0,	0,	0,	0,	400,		// 下
	6600,	13,	0,	0,	0,	8,	350,		// 後ろから群集
	6700,	2,	0,	0,	0,	0,	300,		// アイテム
	6800,	5,	0,	0,	0,	0,	350,		// 上から接近
	7000,	6,	0,	0,	0,	0,	350,		// 下から接近
	7200,	3,	0,	0,	0,	0,	400,		// 上からベタ
	7400,	4,	0,	0,	0,	0,	400,		// 下からベタ
	7800,	2,	0,	0,	0,	0,	300,		// アイテム
	8000,	10,	-1,	100,	0,	0,	0,		// 石
	8050,	10,	0,	150,	0,	0,	0,		// 石
	8100,	10,	-1,	200,	0,	0,	0,		// 石
	8150,	10,	0,	350,	0,	0,	0,		// 石
	8200,	10,	-1,	300,	0,	0,	0,		// 石
	8300,	13,	0,	0,	0,	10,	300,		// 後ろから群集
	8400,	9,	0,	0,	0,	0,	300,		// 下から群集
	8500,	2,	0,	0,	0,	0,	300,		// アイテム
	8600,	16,	0,	0,	4,	0,	1500,		// ３ＷＡＹ、上中下
	8900,	2,	0,	0,	0,	0,	300,		// アイテム
	9000,	14,	0,	0,	0,	0,	0,		// 投石
	9000,	11,	0,	1,	0,	8,	350,		// 上から下から群集
	9000,	11,	0,	-1,	0,	8,	350,		// 上から下から群集
	9800,	0,	0,	0,	0,	0,	60000,		// ボス
	10000,	18,	0,	0,	0,	0,	0,		// クリア
